College Name,Avg Sentiment,Avg Rating,Review Count
Government Engineering College - [GECI],0.9628,10.0,1
Geethanjali College of Engineering and Technology - [GCET] Keesara,0.9632,10.0,1
Guru Nanak College of Engineering & Management - [GNCEM],0.9627,10.0,1
Malla Reddy Engineering College for Women - [MRECW],0.9493,10.0,2
Mumbai University - [MU],0.5719,10.0,1
Excel Engineering College,0.8689,10.0,1
Sharad Institute of Technology College of Engineering,0.8381,10.0,3
Adichunchanagiri Institute of Technology- [AIT],0.9636,10.0,1
Jawaharlal Nehru Technological University - [JNTUH],0.7311,10.0,1
John Bosco Engineering College - [JBEC],0.9719,10.0,1
Kongu Engineering College - [KEC],-0.4767,10.0,1
Sphoorthy Engineering College - [SPHN],0.9678,10.0,1
Navrachana University - [NUV],-0.7648,10.0,1
Trident Academy of Technology,0.6808,10.0,1
Jaipur National University - [JNU],0.9612,10.0,1
"JECRC University, School of Engineering",0.8078,10.0,1
"University College of Engineering Panruti, Anna University - [UCEP]",0.9823,10.0,1
Jawaharlal Nehru Engineering College - [JNEC],0.8155,10.0,1
KS Rangasamy College of Technology,0.9674,10.0,1
Charotar University of Science and Technology - [CHARUSAT],0.9458500000000001,9.85,2
Vivekanandha College of Technology for Women - [VCTW],0.93575,9.85,2
Gokaraju Rangaraju Institute of Engineering and Technology -  [GRIET],0.7279500000000001,9.85,2
Roorkee Institute of Technology - [RIT],0.80447,9.83,10
P.S.G College of Technology - [PSGCT],0.9496,9.8,1
Datta Meghe College of Engineering Airoli,0.7845,9.8,1
C Abdul Hakeem College of Engineering and Technology - [CAHCET],0.9785,9.8,1
Saveetha School of Engineering - [SSE],0.9674,9.7,1
Aryabhatta Knowledge University - [AKU],0.9736,9.7,2
Anand Engineering College - [AEC],0.9371,9.7,1
Ramkrishna Mahato Government Engineering College,0.9665,9.7,1
SNJB's College of Engineering Chandwad,0.9584,9.7,1
Anand International College of Engineering,0.9813,9.7,1
Hyderabad Institute of Technology and Management - [HITAM],0.9723,9.7,1
Gudlavalleru Engineering College - [GEC],0.891,9.7,1
Institute of Chemical Technology - [ICT],-0.0772,9.7,1
JIMS Engineering Management Technical Campus- [JEMTEC],0.9431799999999999,9.7,5
College of Engineering - [COER],0.8442500000000001,9.7,4
KPR Institute of Engineering & Technology - [KPRIET],0.95085,9.7,2
YMCA,0.9501,9.7,1
Delhi University - [DU],0.9893,9.7,1
Shri Sapthagiri Institute of Technology - [SSIT],0.3818,9.7,1
MVPS's  Karmaveer Adv. Baburao Ganpatrao Thakare College of Engineering,0.9312,9.7,1
KCC Institute of Technology and Management - [KCCITM],0.9077000000000001,9.666666666666666,3
Dhaanish Ahmed College of Engineering - [DACE],0.9617,9.6,1
AAA College of Engineering & Technology,0.6378,9.6,1
Panimalar Engineering College,0.8743,9.6,2
ITM SLS Baroda University,0.8178,9.6,1
"Gayatri Vidya Parishad College for Degree and PG Courses, School of Engineering",0.91875,9.55,2
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET],0.893125,9.55,4
Marwadi University - [MU],-0.2592,9.5,1
Amrutvahini College of Engineering - [AVCOE],0.8944,9.5,1
Ahmedabad University,0.96675,9.5,2
"Sagar Institute of Science and Technology - [SISTec] -
 Sagar Group of Institutions",0.7977000000000001,9.5,2
Mar Athanasius College of Engineering - [MACE],0.4927,9.5,1
St Joseph Engineering College - [SJEC],0.9709,9.5,1
St Vincent Pallotti College of Engineering and Technology -[SVPCET],0.3392,9.5,1
Maharshi Dayanand University - [MDU],0.9761,9.5,1
Nalla Malla Reddy Engineering College - [NMREC],0.9939,9.5,1
Mukesh Patel School of Technology Management and Engineering - [MPSTME],0.9617,9.5,1
Madha Engineering College,0.97725,9.5,4
SSN College of Engineering - [SSNCE],-0.0882,9.5,1
GITAM,0.5574,9.5,1
Rajiv Gandhi College of Engineering - [RGCE],0.96,9.5,1
Pandit Deendayal Energy University - [PDEU],0.9179999999999999,9.5,2
Laxmi Devi Institute of Engineering and Technology - [LIET],0.91065,9.5,2
Marine Engineering And Research Institute - [MERI],0.7269,9.5,1
St. Aloysius Institute of Technology - [SAIT],0.9446,9.5,2
National Dairy Research Institute - [NDRI],0.8588,9.5,1
Shri Vishnu Engineering College for Women - [SVECW],0.9881,9.5,1
Prince Shri Venkateshwara Padmavathy Engineering College - [PSVPEC],0.8723,9.5,1
P. V. Narsimha Rao Telangana Veterinary University Rajendra Nagar,-0.09,9.5,1
Nowgong Engineering College,0.97375,9.5,2
Tolani Maritime Institute - [TMI],0.9633,9.5,1
International Maritime Institute - [IMI],0.7506,9.5,1
Don Bosco Institute of Technology - [DBIT],0.9819,9.5,1
Sreepathy Institute of Management and Technology - [SIMAT] Vavannor,0.747,9.5,4
Greater Kolkata College of Engineering & Management - [GKCEM],0.8445,9.425,4
Baba Banda Singh Bahadur Engineering College - [BBSBEC],0.9428000000000001,9.4,2
Budge Budge Institute of Technology - [BBIT],0.6028666666666667,9.4,3
Nirma University - [NU],0.37894,9.379999999999999,5
"Bundelkhand University, Institute of Engineering and Technology",0.66955,9.35,2
Rajiv Gandhi Institute of Petroleum Technology - [RGIPT],0.653,9.3,1
Rajiv Gandhi University of Knowledge Technologies Basar- [RGUKT],0.9821,9.3,1
Shershah College of Engineering - [SCE],0.7506,9.3,1
Maharaja Institute of Technology Thandavapura - [MITT],0.9447,9.3,1
B. M. Institute of Engineering and Technology - [BMIET],0.4489,9.3,1
Muthayammal Engineering College - [MEC],0.8977,9.3,1
International Institute of Information Technology - [IIIT] Naya Raipur,0.9799,9.3,1
Darbhanga College of Engineering - [DCE],0.9651,9.3,1
"PDM University, Bahadurgarh",0.8016,9.3,1
Cummins College Of Engineering For Women,0.96,9.3,1
JSPM Narhe Technical Campus - [JSPM NTC] Narhe,0.9186,9.3,1
Kumaraguru College of Technology - [KCT],0.9969,9.3,1
PACE Institute of Technology and Sciences,0.8516,9.3,1
Kanad Institute of Engineering and Management - [KIEM],0.4201,9.3,1
St.Joseph's Institute of Technology - [SJIT],0.5402,9.3,1
Jyothishmathi Institute of Technology and Science - [JITS],0.9477,9.3,1
Integral University,0.8835000000000001,9.266666666666667,3
REVA University,0.923,9.266666666666667,3
IIT Hyderabad - Indian Institute of Technology - [IITH],0.7113666666666667,9.266666666666667,3
BVRIT Hyderabad College of Engineering for Women - [BVRITH],0.9359,9.25,2
Vidyavardhaka College of Engineering - [VVCE],0.91595,9.25,2
Bannari Amman Institute of Technology - [BIT],0.9335799999999999,9.24,5
Meerut Institute of Engineering and Technology - [MIET],0.8452333333333334,9.233333333333333,3
Mangalore Institute of Technology and Engineering - [MITE],0.9408666666666666,9.233333333333333,3
Sri Jayaram Institute of Engineering and Technology - [SJIET],0.92065,9.2,2
Banasthali Vidyapith,0.9477,9.2,2
Christ University,0.9727,9.2,1
CMR Institute of Technology - [CMRIT],0.9718,9.2,1
Government College of Engineering and Ceramic Technology - [GCECT],0.8868,9.2,4
Aravali College of Engineering and Management - [ACEM],0.9923,9.2,1
Jamia Millia Islamia University-[JMI],0.09269999999999995,9.2,2
Baba Farid College of Engineering and Technology - [BFCET],0.9788,9.2,1
Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College,0.9524,9.2,1
Amrita School of Engineering - [ASE],0.499,9.2,2
Regent Education and Research Foundation - [RERF],0.9509,9.2,1
Ramaiah Institute of Technology - [RIT],0.70918,9.2,5
Buddha Institute of Technology- [BIT],0.9902500000000001,9.15,2
MES College of Engineering - [MESCE] Kuttippuram,0.82715,9.15,2
Gateway Institute of Engineering and Technology - [GIET],0.5439222222222222,9.100000000000001,9
Madras Institute of Technology- [MIT],0.92605,9.100000000000001,2
Narsee Monjee Institute of Management Studies -[NMIMS Deemed to be University],0.95035,9.1,2
Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],0.9014500000000001,9.1,2
IIT Jodhpur - Indian Institute of Technology - [IITJ],0.95695,9.1,4
Thiagarajar College of Engineering - [TCE],0.67245,9.1,2
Usha Mittal Institute of Technology - [UMIT],0.9189125,9.075,8
Government Engineering College - [GECSKP] Sreekrishnapuram ,0.41825,9.075,4
Birla Institute of Technology and Science - [BITS],0.8567125,9.05,16
Bharati Vidyapeeth Deemed University - [BVDU],0.595575,9.05,4
IIT Roorkee - Indian Institute of Technology - [IITR],0.9749000000000001,9.05,2
Dr BR Ambedkar National Institute of Technology - [NIT],0.775525,9.039285714285715,28
K. J. Somaiya College of Engineering - [KJSCE],0.9116500000000001,9.025,4
IIMT University - [IIMTU],0.9441,9.0,1
NIT Trichy,0.61955,9.0,4
National Fire Service College - [NFSC],0.83755,9.0,2
Vikrant University,0.8591,9.0,1
Malla Reddy College of Engineering - [MRCE],0.86385,9.0,2
Anantha Lakshmi Institute of Technology and Sciences - [ALITS],0.5853,9.0,1
SG Balekundri Institute of Technology - [SGBIT],0.9661,9.0,1
Manakula Vinayagar Institute of Technology - [MVIT],0.8225,9.0,1
SR Institute Of Management and Technology - [SRIMT],0.94675,9.0,2
Rashtriya Raksha University - [RRU],0.7962,9.0,1
Rajkiya Engineering College - [REC],0.9313,9.0,1
Aditya Engineering College - [AEC],0.91,9.0,1
Keshav Memorial Institute of Technology - [KMIT],0.9843,9.0,1
Bharati Vidyapeeth's College  of Engineering - [BVCOE] Lavale,0.0935,9.0,1
KSR College of Engineering,0.7721,9.0,2
DY Patil College of Engineering and Technology - [DYPCET],0.9595,9.0,1
Dronacharya College of Engineering - [DCE],0.9032,9.0,2
R.N.G. Patel Institute of Technology - [RNGPIT],0.8968,9.0,1
Pune Vidyarthi Griha's College of Engineering & S.S. Dhamankar Institute of Management,0.979,9.0,1
Siddhartha Institute of Science & Technology - [SISTK],0.9905,9.0,1
JD College of Engineering and Management,0.9469,9.0,1
Institute of Management Studies - [IMS],0.9509,9.0,1
